Currency,Naive,FX Only,FX + Features,All Features
AUD,,0.8377799848598295,0.8377928766942448,
CAD,,0.8129194307684011,0.8987934262533805,
JPY,,0.7728323242824527,0.9420942392367906,
CHF,,0.7406460846452668,0.888638567390811,
GBP,,0.7905959443112784,0.7906405809910236,
